SYMBOL,company,product,region,country,industry,sector,gics_sector
5108.T,BRIDGESTONE CORPORATION,Equity,jp_topix_500,Japan,Auto Parts,Rubber Products,Consumer Cyclical
5110.T,"Sumitomo Rubber Industries,Ltd.",Equity,jp_topix_500,Japan,Auto Parts,Rubber Products,Consumer Cyclical
5201.T,AGC Inc.,Equity,jp_topix_500,Japan,Conglomerates,Glass & Ceramics Products,Industrials
5214.T,"Nippon Electric Glass Co.,Ltd.",Equity,jp_topix_500,Japan,Electronic Components,Glass & Ceramics Products,Technology
5232.T,"Sumitomo Osaka Cement Co.,Ltd.",Equity,jp_topix_500,Japan,Building Materials,Glass & Ceramics Products,Basic Materials
5233.T,TAIHEIYO CEMENT CORPORATION,Equity,jp_topix_500,Japan,Building Materials,Glass & Ceramics Products,Basic Materials
5301.T,"TOKAI CARBON CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Chemicals,Glass & Ceramics Products,Basic Materials
5332.T,TOTO LTD.,Equity,jp_topix_500,Japan,Building Products & Equipment,Glass & Ceramics Products,Industrials
5333.T,"NGK INSULATORS,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Glass & Ceramics Products,Industrials
5334.T,"Niterra Co.,Ltd.",Equity,jp_topix_500,Japan,Auto Parts,Glass & Ceramics Products,Consumer Cyclical
5344.T,"MARUWA CO.,LTD.",Equity,jp_topix_500,Japan,Electronic Components,Glass & Ceramics Products,Technology
5393.T,NICHIAS CORPORATION,Equity,jp_topix_500,Japan,Conglomerates,Glass & Ceramics Products,Industrials
5401.T,NIPPON STEEL CORPORATION,Equity,jp_topix_500,Japan,Steel,Iron & Steel,Basic Materials
5406.T,"Kobe Steel,Ltd.",Equity,jp_topix_500,Japan,Steel,Iron & Steel,Basic Materials
5411.T,"JFE Holdings,Inc.",Equity,jp_topix_500,Japan,Steel,Iron & Steel,Basic Materials
5444.T,"YAMATO KOGYO CO.,LTD.",Equity,jp_topix_500,Japan,Steel,Iron & Steel,Basic Materials
5463.T,Maruichi Steel Tube Ltd.,Equity,jp_topix_500,Japan,Steel,Iron & Steel,Basic Materials
5471.T,"Daido Steel Co.,Ltd.",Equity,jp_topix_500,Japan,Steel,Iron & Steel,Basic Materials
5631.T,"The Japan Steel Works,Ltd.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
5706.T,"Mitsui Kinzoku Company,Limited",Equity,jp_topix_500,Japan,Conglomerates,Nonferrous Metals,Industrials
5711.T,Mitsubishi Materials Corporation,Equity,jp_topix_500,Japan,Other Industrial Metals & Mining,Nonferrous Metals,Basic Materials
5713.T,"Sumitomo Metal Mining Co.,Ltd.",Equity,jp_topix_500,Japan,Other Industrial Metals & Mining,Nonferrous Metals,Basic Materials
5714.T,"DOWA HOLDINGS CO.,LTD.",Equity,jp_topix_500,Japan,Other Industrial Metals & Mining,Nonferrous Metals,Basic Materials
5801.T,"Furukawa Electric Co.,Ltd.",Equity,jp_topix_500,Japan,Electrical Equipment & Parts,Nonferrous Metals,Industrials
5802.T,"Sumitomo Electric Industries,Ltd.",Equity,jp_topix_500,Japan,Auto Parts,Nonferrous Metals,Consumer Cyclical
5803.T,Fujikura Ltd.,Equity,jp_topix_500,Japan,Conglomerates,Nonferrous Metals,Industrials
5830.T,"Iyogin Holdings,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
5831.T,"Shizuoka Financial Group,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
5832.T,"Chugin Financial Group,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
5838.T,"Rakuten Bank,Ltd.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
5844.T,"Kyoto Financial Group,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
5901.T,"Toyo Seikan Group Holdings,Ltd.",Equity,jp_topix_500,Japan,Packaging & Containers,Metal Products,Consumer Cyclical
5929.T,Sanwa Holdings Corporation,Equity,jp_topix_500,Japan,Building Products & Equipment,Metal Products,Industrials
